id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1122106,財產法專題研究（七）,呂彥彬,1,7|8,2,False,False,651079001,法律系碩士班,False
1122107,財產法專題研究（八）,向明恩,3,5|6,2,False,False,651083001,法律系碩士班,False
1122108,經濟法專題研究（二）,王立達,4,7|8,2,False,False,651156001,法律系碩士班,False
1122109,侵權行為法專題研究（二）,張韻琪,3,7|8,2,False,False,651167001,法律系碩士班,False
1122110,日文法學名著選讀（二）,謝如媛,4,2|3|4,3,False,True,651171001,法律系碩士班,False
1122111,社會法專題研究（一）,張桐銳,3,3|4,2,False,False,651220001,法律系碩士班,False
1122112,親子法專題研究（二）,戴瑀如,4,3|4,2,False,False,651241001,法律系碩士班,False
1122113,國際公法專題研究（三）,陳貞如,4,3|4,2,False,False,651277001,法律系碩士班,False
1122114,德文法學名著選讀 （三）,楊雲驊,1,6|7|8,3,False,True,651278001,法律系碩士班,False
1122115,刑事訴訟法專題研究（四）,黃謀信、楊雲驊,2,5|6,2,False,False,651290001,法律系碩士班,False
1122116,西洋法律思想史專題研究（三）,江玉林,2,2|3|4,3,False,False,651312001,法律系碩士班,False
1122117,刑事證據法專題研究（四）,何賴傑,2,3|4,2,False,False,651363001,法律系碩士班,False
1122118,民事訴訟法專題研究（五）,姜世明,1,5|6,2,False,False,651369001,法律系碩士班,False
1122119,憲法專題研究（八）,劉定基,4,7|8,2,False,False,651379001,法律系碩士班,False
1122120,憲法專題研究（九）,蘇永欽,4,5|6,2,False,False,651382001,法律系碩士班,False
1122121,民事實務專題研究（一）,蘇永欽,2,5|6,2,False,False,651467001,法律系碩士班,False
1122122,比較契約法專題研究（一）,張韻琪,5,5|6,2,False,False,651472001,法律系碩士班,False
1122123,超國界法律問題專題研究（五）,許耀明,5,3|4,2,False,False,651473001,法律系碩士班,False
1122124,集體勞動法專題研究（三）,林良榮,2,7|8,2,False,False,651527001,法律系碩士班,False
1122125,公法實務專題研究（三）,陳靜慧,3,5|6,2,False,False,651536001,法律系碩士班,False
